,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
190,Family Guy ,"Danny Smith, Seth Green, Mila Kunis, Seth MacFarlane, Alex Borstein, Mike Henry, Adam West, Patrick Warburton, Ralph Garman, Alec Sulkin, John Viener",TV-14,15th September 2014            ,"In Seth MacFarlane's no-holds-barred animated show, buffoonish Peter Griffin and his dysfunctional family experience wacky misadventures.",,13 Seasons,22min                ,"TV Programmes, TV Comedies, Cult TV Programmes",8.3/10,http://www.imdb.com/title/tt0182576/,https://art-s.nflximg.net/8993a/07462c584bb851ca956cfca1072272579248993a.jpg,3.9/5,2015
191,family party ,"Shruti Tewari, Jaya Prasad, Vishal Vaidya, Jai Ahuja, Rahul Nalamasu, Hunter Milano, Rajiv Nema, Dhira Ramakrishnan, Pritesh Shah, Karthik Hariharan, Rashmi Rustagi, Nitin Deo",NR,1st March 2016            ,"When Nick and other teens stuck at a big family party find they have concert tickets for that night, they plot an escape from the dull affair.",Pari Mathur,51m,,"Romantic Comedies, Dramas, Comedies",5.8/10,http://www.imdb.com/title/tt3152364/,https://art-s.nflximg.net/fbcce/113ffe116e8972cfda9638f493388d18716fbcce.jpg,2.5/5,2015
192,Fan Girl ,"Meg Ryan, Scott Adsit, Kiernan Shipka, Kara Hayward, Pico Alexander, Joshua Boone, Kieran Culkin, Bill Sage, Catherine Curtin, Susan Blommaert, Roy Jackson, Danny Flaherty, Nadia Alexander, Annie Q, Tess Frazer",TV-14,25th April 2016            ,A creative high school student sets out to make a film project about her favorite band and tries to find an in with the help of her friends and mom.,Paul Jarrett,1hr 29m,,Comedies,5.2/10,http://www.imdb.com/title/tt4146132/,https://art-s.nflximg.net/93c5c/3133ec82424e7361686e483fa1e391795ac93c5c.jpg,3.7/5,2015
193,Fat Man Little Boy ,"Kevin Heffernan, Steve Lemme",NR,Unknown Date            ,"Actor-comedians Kevin Heffernan and Steve Lemme perform stand up, tell funny stories about making movies and even drink beer with the audience.","Robert Barocci, Kevin Heffernan",1hr 25m,,"Stand-up Comedy, Comedies",6.4/10,http://www.imdb.com/title/tt4417768/,https://art-s.nflximg.net/58a77/5ed012c5fa7ad23ab39d1f55512fb00357158a77.jpg,3.5/5,2013
194,Father of the Pride ,"John Goodman, Cheryl Hines, Orlando Jones, Carl Reiner, Danielle Harris, David Herman, Julian Holloway, Daryl Sabara, Brian George, Don Stark",TV-14,Unknown Date            ,A host of celebs lend their voices to this animated series about the real stars of Siegfried and Roy's Las Vegas act -- the white lions.,,1 Season,21min                ,"Adult Animation, TV Animated Comedies, TV Programmes, TV Comedies",7/10,http://www.imdb.com/title/tt0361179/,https://art-s.nflximg.net/88d1a/37d919e5f9a1ec3de83256ce35e21adce7c88d1a.jpg,3.3/5,2004
195,Felipe Esparza: They're Not Going to Laugh at You ,Felipe Esparza,NR,Unknown Date            ,"""Last Comic Standing"" winner Felipe Esparza runs riot in his first comedy special with his wry comments on life as a wild man from East Los Angeles.",Scott L. Montoya,58m,,"Latino Stand-up Comedy, Stand-up Comedy, Comedies",,,https://art-s.nflximg.net/a6ff9/b84c2d18138cf3dcd17403a10c151b17272a6ff9.jpg,3.8/5,2012
196,The Film Critic ,"Dolores Fonzi, Ana Katz, Ignacio Rogers, Rafael Spregelburd, Telma Crisanti, Daniel Kargieman, Blanca Lewin, Eduardo Iáccono, Marcelo Subiotto",NR,1st May 2016            ,A pretentious film critic who despises romantic comedies realizes that his life is turning into one when he falls for a free-spirited woman.,Hernán Guerschuny,1hr 37m,,"Romantic Comedies, Comedies, International Comedies",6.1/10,http://www.imdb.com/title/tt2249278/,https://art-s.nflximg.net/260b7/a5d6a73d4725e6880928b6a93e48a0e79bb260b7.jpg,1.8/5,2013
197,Filmistaan ,"Kumud Mishra, Sharib Hashmi, Inaamulhaq, Gopal Dutt, Ravi Bhushan Bhartiya",NR,1st January 2016            ,"When Islamic militants targeting an American documentary crew mistakenly take an Indian actor hostage, he bonds with the village's young film buffs.",Nittin Khakkar,1hr 45m,,"Dramas, Comedies, International Comedies",7.3/10,http://www.imdb.com/title/tt2417560/,https://art-s.nflximg.net/a7f93/ea50c6213afa94d838d8bf697b3290dec6aa7f93.jpg,3.5/5,2012
198,Filth ,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots, Brian McCardie, Emun Elliott, Gary Lewis, John Sessions, Shauna MacDonald, Jim Broadbent, Joanne Froggatt",R,Unknown Date            ,"An arrogant, corrupt cop who believes he's the only competent person in his department sees a recent murder case as a path to promotion.",Jon S. Baird,1hr 37m,,"Dramas based on a book, Crime Dramas, British Films, Independent Comedies, Dark Comedies, Dramas, Dramas based on contemporary literature, Independent Films, Independent Dramas, Comedies",7.1/10,http://www.imdb.com/title/tt1450321/,https://art-s.nflximg.net/b15b4/e8d90a93acc807b1aad0c451905b4f27f43b15b4.jpg,3.5/5,2013
199,The Finder ,"Geoff Stults, Michael Clarke Duncan, Mercedes Masöhn, Maddie Hasson, Toby Hemingway",TV-14,Unknown Date            ,This offbeat detective drama stars Geoff Stults as an Army veteran whose rare talent for finding people makes him vital to criminal investigations.,,1 Season,44min                ,"TV Programmes, TV Dramas, Crime TV Programmes, TV Comedies, Crime TV Dramas, TV Mysteries, TV Comedy Dramas",7.5/10,http://www.imdb.com/title/tt1628112/,https://art-s.nflximg.net/f111d/cb00c35c60102957521cf5b394f2f0d7e89f111d.jpg,4.2/5,2012
200,Finding Fanny ,"Dimple Kapadia, Naseeruddin Shah, Pankaj Kapur, Deepika Padukone, Anand Tiwari, Arjun Kapoor, Ranveer Singh, Anjali Patil",NR,20th March 2016            ,"Decades after he sent a marriage proposal to a girlfriend who never replied, an aging mailman learns she never received it and sets out to find her.",Homi Adajania,1hr 42m,,"Romantic Comedies, Comedies, International Comedies",5.9/10,http://www.imdb.com/title/tt3142688/,https://art-s.nflximg.net/2a3e1/c6cd5bf18a8ad877087853d0514a2f0377c2a3e1.jpg,3.1/5,2014
201,Finding Neighbors ,"Michael O'Keefe, Sean Patrick Thomas, Blake Bashoff, Mike Genovese, Catherine Dent, Julie Mond",NR,22nd September 2015            ,"Desperate to reignite his creative and emotional fires, a burnt-out graphic novelist forges an unlikely relationship with his young gay neighbor.",Ron Judkins,1hr 36m,,"Independent Dramas, Dramas, Comedies",7.6/10,http://www.imdb.com/title/tt1916766/,https://art-s.nflximg.net/be682/67cd4e950dcec75301d1d7006a41fe3ae29be682.jpg,2.4/5,2013
202,First Period ,"Brandon Alexander III, Dudley Beene, Lauren Rose Lewis, Michael Turchin, Leigh Wakeford, Karli Kaiser, Adrian Burks, Cassandra Peterson, Jack Plotnick",NR,16th May 2015            ,The new girl and a social outcast decide their ticket to popularity is to win their high school talent show -- but the cool kids have other ideas.,Charlie Vaughn,1hr 37m,,"Camp Films, Gay & Lesbian Films, Slapstick Comedies, Independent Comedies, Independent Films, Gay & Lesbian Comedies, Comedies",6.6/10,http://www.imdb.com/title/tt2508258/,https://art-s.nflximg.net/d57fb/fbc79d9bf323b250848206467808af62e46d57fb.jpg,3/5,2013
203,Flaked ,"Will Arnett, David Sullivan, Lina Esco, Ruth Kearney, George Basil, Travis Mills, Kirstie Alley, Heather Graham, Mark Boone Junior, Sab Shimono, Robert Wisdom, Christopher Mintz-Plasse, Matthew Willig, Jeff Daniel Phillips, Minerva Garcia",TV-MA,11th March 2016            ,"In his funky California beach enclave, Chip's the go-to guy for personal insights. But he isn't quite as enlightened when it comes to his own baggage.",,1 Season,32min                ,"TV Programmes, TV Comedies, TV Dramas",7.3/10,http://www.imdb.com/title/tt4973548/,https://art-s.nflximg.net/61080/5f0c3a49d92b6621fbfa2f248d9c658c62361080.jpg,3.9/5,2016
204,Floating! ,"Anna König, Jakob Renger, Nina Bernards, Julia Becker, Christian Natter, Till Butterbach, Rhon Diels, Sina Bianca Hentschel",NR,1st July 2016            ,"A bride-to-be ends up on a rafting trip with a surprise guest: the sperm donor she's planning to use. Back in Berlin, her fiancée is visited by an ex.",Julia C. Kaiser,1hr 26m,,"Dramas, Comedies, International Comedies",5.2/10,http://www.imdb.com/title/tt3886372/,https://art-s.nflximg.net/93455/3a937a5c2104c5b425954b3a18ad151016393455.jpg,2/5,2015
205,Flower Girl ,"Damilola Adegbite, Chris Attoh, Chuks Chukwujekwu, Blossom Chukwujekwu, Eku Edewor, Bikiya Graham Douglas",NR,10th April 2015            ,"When a young florist who's long dreamed of her wedding day gets dumped by her boyfriend, she sets out to win him back with help from a handsome actor.",Michelle Bello,1hr 34m,,"International Comedies, African Films, International Movies, Romantic Comedies, Romantic Films, Comedies",5.9/10,http://www.imdb.com/title/tt2662230/,https://art-s.nflximg.net/8f4e1/4225934492ed7683ccdf3875447aa446d3b8f4e1.jpg,3.6/5,2013
206,The Fluffy Movie ,Gabriel Iglesias,NR,18th February 2015            ,"Taking the stage in San Jose, California, comic Gabriel Iglesias delivers a manic performance featuring wild stories and even wilder impersonations.","Manny Rodriguez, Jay Lavender",1hr 41m,,"Latino Stand-up Comedy, Latin Music, Stand-up Comedy, Comedies",7.2/10,http://www.imdb.com/title/tt3532608/,https://art-s.nflximg.net/256ee/2778dc03bd15645b31f101180c9e16d41ac256ee.jpg,4.2/5,2014
207,Follow the Funny! ,Richard Villa,TV-MA,1st July 2016            ,"Follow some of the world's top Spanish-language comedians on tour, including El Costeño, Trapicio, Minister Marco and host Richard Villa.",,1 Season,8hr 00min                ,"TV Programmes, TV Comedies, Spanish-Language TV Shows",,,https://art-s.nflximg.net/2c5d8/4f79a509b3e31342dfc8c643dc9baad18222c5d8.jpg,2.5/5,2016
208,"For a Good Time, Call... ","Ari Graynor, Lauren Anne Miller, James Wolk, Nia Vardalos, Mimi Rogers, Don McManus, Sugar Lyn Beard, Steven Shaw, Justin Long, Mark Webber",R,12th August 2015            ,"Fate lands former college rivals Lauren and Kate together in the same apartment, where they launch a phone sex line to make ends meet.",Jamie Travis,1hr 25m,,"Independent Comedies, Late Night Comedies, Independent Films, Comedies",6/10,http://www.imdb.com/title/tt1996264/,https://art-s.nflximg.net/f2cf2/aa16026d6e60782b7be338421ff3bf2f5f4f2cf2.jpg,3.7/5,2012
209,The Forbidden Room ,"Roy Dupuis, Karine Vanasse, Caroline Dhavernas, Louis Negin, Clara Furey, Celine Bonnier, Geraldine Chaplin, Maria de Medeiros, Udo Kier, Charlotte Rampling, Mathieu Amalric, Marie Brassard, Paul Ahmarani, Sophie Desmarais",NR,8th March 2016            ,"This surreal anthology of 17 different stories includes narratives about a stranded submarine crew, wolfish kidnappers and volcano maiden sacrifice.","Guy Maddin, Evan Johnson",1hr 59m,,"Comedies, Cult Films, Cult Comedies",6.3/10,http://www.imdb.com/title/tt3066630/,https://art-s.nflximg.net/47d8e/2665397b71b868e0d614bdf9ed1a3deaf7747d8e.jpg,2/5,2015
210,The Formula ,"Brandon Baker, Mike Schminke, Sasha Jackson, Reginald Veljohnson, Katie Goebel, Tyler Thirnbeck, Ben Kass, Katie Lynn McDowell",NR,Unknown Date            ,"In the course of their engineering research, friends Quinn and Graham come up with a math formula that enables them to automatically attract women.","Thomas Beecher, Joe Clarke",1hr 34m,,"Late Night Comedies, Comedies",2.7/10,http://www.imdb.com/title/tt2328490/,https://art-s.nflximg.net/77c3f/1f13694f06c70953b50ae3a6a5f46f1eaad77c3f.jpg,2.3/5,2014
211,Four Seasons ,"Keith Robinson, Christian Keyes, Robin Givens, Jazsmin Lewis, Laila Odom, Mel Jackson, Christopher Nolen, Amanda Marcheschi",NR,1st February 2015            ,"Tired of the dating scene, Xavier begins looking for the right woman to settle down with, devising an interesting plan to find her.",Christopher Nolen,1hr 31m,,"Romantic Comedies, Romantic Films, Comedies",5.8/10,http://www.imdb.com/title/tt3099300/,https://art-s.nflximg.net/82527/d3c75e54156b4a4e60874cba4ca476354ee82527.jpg,3.4/5,2014
212,The Fox and the Hound 2 ,"Reba McEntire, Patrick Swayze, Jeff Foxworthy, Jonah Bobo, Harrison Fahn, Vicki Lawrence, Stephen Root, Jim Cummings, Kath Soucie, Hannah Farr, April Winchell, Rob Paulsen, Russi Taylor",G,Unknown Date            ,"In Disney's sequel to the 1981 classic, Tod and Copper find their friendship put to the test when Copper joins a howling country-and-western dog band.",Jim Kammerud,1hr 9m,,"Films for ages 5 to 7, Family Adventures, Animal Tales, Films for ages 8 to 10, Children & Family Films, Family Comedies, Kids' Music, Disney, Comedies",5.5/10,http://www.imdb.com/title/tt0465997/,https://art-s.nflximg.net/4e775/11144d828bd22646d30b67e35005719d5664e775.jpg,3.7/5,2006
213,The Foxy Merkins ,"Lisa Haas, Jackie Monahan, Alex Karpovsky, Susan Ziegler, Sally Sockwell, Deb Margolin",NR,20th March 2015            ,"In this lighthearted comedy, two lesbian hookers form an unexpected bond as they service everyone from Manhattan matrons to suburban soccer moms.",Madeleine Olnek,1hr 20m,,"Gay & Lesbian Films, Independent Comedies, Independent Films, Gay & Lesbian Comedies, Comedies",6.2/10,http://www.imdb.com/title/tt2971990/,https://art-s.nflximg.net/7bb4c/82eedb773746df33e06b22a4fc1822d1bd87bb4c.jpg,2.6/5,2013
214,Frances Ha ,"Greta Gerwig, Mickey Sumner, Adam Driver, Michael Esper, Patrick Heusinger, Charlotte d'Amboise, Hannah Dunne, Grace Gummer, Josh Hamilton, Cindy Katz, Maya Kazan, Justine Lupe, Britta Phillips, Juliet Rylance, Dean Wareham, Michael Zegen",R,Unknown Date            ,"Determined to make it as a modern dancer in New York, a young woman pursues her unlikely goal with more enthusiasm than natural talent.",Noah Baumbach,1hr 25m,,"Independent Comedies, Independent Films, Comedies",7.4/10,http://www.imdb.com/title/tt2347569/,https://art-s.nflximg.net/2dffe/684630cbac6129fe234890f6a2e0b8ff41b2dffe.jpg,3.7/5,2012
215,Frank ,"Domhnall Gleeson, Maggie Gyllenhaal, Scoot McNairy, Michael Fassbender, François Civil, Carla Azar, Tess Harper, Bruce McIntosh",R,8th January 2015            ,An aspiring musician joins a band of eccentrics led by an enigmatic singer -- who wears a fake head -- and his unstable girlfriend.,Lenny Abrahamson,1hr 35m,,"Independent Comedies, Biographical Dramas, Dramas, Independent Films, Independent Dramas, Irish Films, Comedies",7/10,http://www.imdb.com/title/tt1605717/,https://art-s.nflximg.net/ceae2/f4de371a5d4a19122b253d6018ec81d5442ceae2.jpg,3.8/5,2014
216,Frank and Cindy ,"Oliver Platt, Rene Russo, Johnny Simmons, Marc Maron, Jane Levy, Ron Myles, Fabianne Therese, Jessica Garrison",R,1st April 2016            ,A student filmmaker vengefully turns his camera on his bitter mom and washed-up rock star stepdad in this dramedy based on a documentary.,G.J. Echternkamp,1hr 41m,,"Biographical Dramas, Dramas, Comedies",6.2/10,http://www.imdb.com/title/tt1239242/,https://art-s.nflximg.net/363b1/d8c697e9c0e97b24cd7613c0261ba1684ad363b1.jpg,3.3/5,2015
217,Frasier ,"Kelsey Grammer, John Mahoney, David Hyde Pierce, Dan Butler, Peri Gilpin, Jane Leeves",TV-PG,15th September 2014            ,Frasier Crane is a snooty but lovable Seattle psychiatrist who dispenses advice on his call-in radio show while ignoring it in his own relationships.,,11 Seasons,23min                ,"TV Programmes, Sitcoms, TV Comedies",8/10,http://www.imdb.com/title/tt0106004/,https://art-s.nflximg.net/69a09/e087916d4cd799613792c47be25fe6354de69a09.jpg,3.8/5,2003
218,Freaks and Geeks ,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine, Seth Rogen, Jason Segel, Martin Starr, Becky Ann Baker, Joe Flaherty, Busy Philipps",TV-14,Unknown Date            ,A group of high school students in 1980 faces various social struggles. Lindsay rebels and hangs out with a crowd of burnouts for starters.,,1 Season,46min                ,"Cult TV Programmes, TV Programmes, TV Dramas, TV Comedies, TV Comedy Dramas",8.9/10,http://www.imdb.com/title/tt0193676/,https://art-s.nflximg.net/8eeff/d0f0fa2e36540aec1787240a90ba874ba438eeff.jpg,4.4/5,1999
219,Free the Nipple ,"Lina Esco, Lola Kirke, Casey LaBow, Monique Coleman, Griffin Newman, Zach Grenier, Janeane Garofalo",R,9th June 2015            ,A legion of impassioned young women take to the streets of New York City in a crusade to legalize public nudity in America.,Lina Esco,1hr 18m,,"Independent Comedies, Dramas, Independent Films, Independent Dramas, Comedies",3.8/10,http://www.imdb.com/title/tt2298394/,https://art-s.nflximg.net/0de35/1faf493f2b435b228169362d47a436c59660de35.jpg,2.6/5,2014
220,Freedom Force ,"Christopher Lloyd, Sarah Michelle Gellar",PG,Unknown Date            ,"To reverse a plot to erase the most famous stories from history, a group of kids and their dog are sent back in time to restore the beloved tales.",Eduardo Schuldt,1hr 20m,,"Family Adventures, Family Sci-Fi & Fantasy, Films for ages 11 to 12, Films for ages 8 to 10, Action Comedies, Children & Family Films, Family Comedies, Comedies",3.4/10,http://www.imdb.com/title/tt3249408/,https://art-s.nflximg.net/6d139/757f215b6f8c04a6c53f4673ddac69e56466d139.jpg,3.4/5,2012
221,The French Minister ,"Thierry Lhermitte, Raphaël Personnaz, Niels Arestrup, Bruno Raffaelli, Julie Gayet, Anaïs Demoustier, Thomas Chabrol, Thierry Frémont, Alix Poisson, Marie Bunel",NR,Unknown Date            ,University graduate Arthur Vlaminck navigates France's perilous corridors of power when he's appointed speechwriter for the Foreign Affairs minister.,Bertrand Tavernier,1hr 54m,,"Political Comedies, International Comedies, International Movies, French Films, Comedies",6.4/10,http://www.imdb.com/title/tt2609222/,https://art-s.nflximg.net/4815a/e537edd9250f8421c2371aeac0a7611e4274815a.jpg,3.3/5,2013
